Question,Correct Answer,B,C,D
What is the capital of France?,Paris,Berlin,Rome,Madrid
In which year did World War II end?,1945,1943,1947,1950
"Who wrote the play ""Romeo and Juliet""?",William Shakespeare,Charles Dickens,Jane Austen,Mark Twain
What is the largest planet in our solar system?,Jupiter,Venus,Mars,Saturn
What is the chemical symbol for gold?,Au,Ag,Fe,Hg
Which famous scientist developed the theory of relativity?,Albert Einstein,Isaac Newton,Galileo Galilei,Stephen Hawking
In what year did the Titanic sink?,1912,1910,1915,1920
What is the capital of Japan?,Tokyo,Seoul,Beijing,Bangkok
Who painted the Mona Lisa?,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Michelangelo
What is the largest ocean on Earth?,Pacific Ocean,Atlantic Ocean,Indian Ocean,Arctic Ocean
"Which planet is known as the ""Red Planet""?",Mars,Venus,Jupiter,Saturn
Who is the author of the Harry Potter series?,J.K. Rowling,J.R.R. Tolkien,George R.R. Martin,Suzanne Collins
What is the capital of Australia?,Canberra,Sydney,Melbourne,Brisbane
Who is the current President of the United States?,Joe Biden,Donald Trump,Barack Obama,George W. Bush
"Which element has the chemical symbol ""O""?",Oxygen,Gold,Iron,Silver
What is the currency of China?,Yuan,Yen,Won,Ringgit
"Who wrote the play ""Hamlet""?",William Shakespeare,Jane Austen,Charles Dickens,F. Scott Fitzgerald
In which year did the Berlin Wall fall?,1989,1985,1991,1995
What is the largest mammal in the world?,Blue whale,Elephant,Giraffe,Gorilla
"Who is known as the ""Father of Computers""?",Alan Turing,Bill Gates,Steve Jobs,Charles Babbage
What is the official language of Brazil?,Portuguese,Spanish,French,Italian
Who painted the Starry Night?,Vincent van Gogh,Claude Monet,Pablo Picasso,Salvador Dalí
In which country is the Great Barrier Reef located?,Australia,Brazil,Mexico,India
What is the smallest prime number?,2,0,1,3
"Which planet is known as the ""Blue Planet""?",Earth,Venus,Mars,Jupiter
What is the chemical symbol for silver?,Ag,Si,Au,Fe
"Who wrote the play ""Macbeth""?",William Shakespeare,Jane Austen,Charles Dickens,F. Scott Fitzgerald
In which year did the United States declare its independence?,1776,1774,1783,1800
What is the largest desert in the world?,Antarctica,Sahara Desert,Arabian Desert,Gobi Desert
Who is the Greek god of the sea?,Poseidon,Zeus,Apollo,Hermes
What is the capital of Canada?,Ottawa,Toronto,Vancouver,Montreal
"Who wrote the novel ""To Kill a Mockingbird""?",Harper Lee,J.R.R. Tolkien,Jane Austen,George Orwell
What is the square root of 64?,8,6,10,12
"Which planet is known as the ""Morning Star"" or ""Evening Star""?",Venus,Mars,Jupiter,Mercury
What is the chemical symbol for water?,H2O,CO2,O2,N2
Who painted the Last Supper?,Leonardo da Vinci,Michelangelo,Vincent van Gogh,Pablo Picasso
In which year did Christopher Columbus first reach the Americas?,1492,1500,1607,1776
What is the largest bird in the world?,Ostrich,Eagle,Penguin,Falcon
"Who is the author of ""The Great Gatsby""?",F. Scott Fitzgerald,Ernest Hemingway,Jane Austen,George Orwell
What is the speed of light?,"300,000 km/s","150,000 km/s","500,000 km/s","10,000 km/s"
Which country is known as the Land of the Rising Sun?,Japan,China,South Korea,Vietnam
What is the currency of the United Kingdom?,Pound Sterling,Euro,Dollar,Yen
Who is the lead vocalist of the band Queen?,Freddie Mercury,John Lennon,Mick Jagger,David Bowie
In which year did the first moon landing occur?,1969,1961,1975,1983
What is the largest island in the world?,Greenland,Australia,Borneo,Madagascar
Who painted the Sistine Chapel ceiling?,Michelangelo,Leonardo da Vinci,Raphael,Donatello
What is the capital of South Africa?,Pretoria,Nairobi,Cape Town,Johannesburg
Who discovered penicillin?,Alexander Fleming,Marie Curie,Louis Pasteur,Joseph Lister
What is the largest moon of Jupiter?,Ganymede,Io,Europa,Callisto
"Who wrote the novel ""1984""?",George Orwell,Aldous Huxley,Ray Bradbury,H.G. Wells